sale_id,sale_date,sale_hour,item_id,item_name,category,quantity,unit_price,total_amount,weather,temperature,day_of_week
S00000025,2026-01-08,8,D003,スポーツドリンク,飲料,1,160,160,rainy,8.4,3
S00000026,2026-01-08,8,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000027,2026-01-08,8,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000028,2026-01-08,8,O002,おにぎり ツナマヨ,おにぎり,1,130,130,rainy,8.4,3
S00000029,2026-01-08,8,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000030,2026-01-08,8,OD03,おでん ちくわ,おでん,1,110,110,rainy,8.4,3
S00000031,2026-01-08,8,S001,サンドイッチ たまご,サンドイッチ,1,298,298,rainy,8.4,3
S00000032,2026-01-08,9,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000033,2026-01-08,9,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000034,2026-01-08,9,D002,コーヒー 缶,飲料,3,130,390,rainy,8.4,3
S00000035,2026-01-08,9,L002,Lチキ 旨辛,ホットスナック,1,210,210,rainy,8.4,3
S00000036,2026-01-08,9,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000037,2026-01-08,9,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000038,2026-01-08,9,D004,コーラ 500ml,飲料,1,170,170,rainy,8.4,3
S00000039,2026-01-08,9,SW02,プリン,スイーツ,1,180,180,rainy,8.4,3
S00000040,2026-01-08,9,D002,コーヒー 缶,飲料,1,130,130,rainy,8.4,3
S00000041,2026-01-08,9,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000042,2026-01-08,9,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,8.4,3
S00000043,2026-01-08,9,I001,アイスクリーム バニラ,アイス,1,180,180,rainy,8.4,3
S00000044,2026-01-08,9,D004,コーラ 500ml,飲料,1,170,170,rainy,8.4,3
S00000045,2026-01-08,9,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000046,2026-01-08,9,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000047,2026-01-08,9,L001,Lチキ,ホットスナック,3,210,630,rainy,8.4,3
S00000048,2026-01-08,9,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000049,2026-01-08,9,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000050,2026-01-08,10,OD01,おでん 大根,おでん,2,90,180,rainy,8.4,3
S00000051,2026-01-08,10,D003,スポーツドリンク,飲料,1,160,160,rainy,8.4,3
S00000052,2026-01-08,10,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000053,2026-01-08,10,D003,スポーツドリンク,飲料,1,160,160,rainy,8.4,3
S00000054,2026-01-08,10,B003,チキン南蛮弁当,弁当,1,548,548,rainy,8.4,3
S00000055,2026-01-08,10,SW01,シュークリーム,スイーツ,2,150,300,rainy,8.4,3
S00000056,2026-01-08,10,N001,肉まん,中華まん,1,150,150,rainy,8.4,3
S00000057,2026-01-08,10,K003,からあげクン チーズ,ホットスナック,1,238,238,rainy,8.4,3
S00000058,2026-01-08,10,SW02,プリン,スイーツ,1,180,180,rainy,8.4,3
S00000059,2026-01-08,10,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000060,2026-01-08,10,N001,肉まん,中華まん,1,150,150,rainy,8.4,3
S00000061,2026-01-08,10,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000062,2026-01-08,10,SW02,プリン,スイーツ,1,180,180,rainy,8.4,3
S00000063,2026-01-08,10,L001,Lチキ,ホットスナック,1,210,210,rainy,8.4,3
S00000064,2026-01-08,11,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000065,2026-01-08,11,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000066,2026-01-08,11,SW01,シュークリーム,スイーツ,2,150,300,rainy,8.4,3
S00000067,2026-01-08,11,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000068,2026-01-08,11,N001,肉まん,中華まん,1,150,150,rainy,8.4,3
S00000069,2026-01-08,11,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000070,2026-01-08,11,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000071,2026-01-08,11,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,8.4,3
S00000072,2026-01-08,11,D003,スポーツドリンク,飲料,1,160,160,rainy,8.4,3
S00000073,2026-01-08,11,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000074,2026-01-08,11,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,8.4,3
S00000075,2026-01-08,11,B001,幕の内弁当,弁当,1,498,498,rainy,8.4,3
S00000076,2026-01-08,11,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000077,2026-01-08,11,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000078,2026-01-08,11,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000079,2026-01-08,11,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000080,2026-01-08,11,B003,チキン南蛮弁当,弁当,1,548,548,rainy,8.4,3
S00000081,2026-01-08,11,N001,肉まん,中華まん,1,150,150,rainy,8.4,3
S00000082,2026-01-08,11,B003,チキン南蛮弁当,弁当,2,548,1096,rainy,8.4,3
S00000083,2026-01-08,11,N001,肉まん,中華まん,2,150,300,rainy,8.4,3
S00000084,2026-01-08,12,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000085,2026-01-08,12,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,8.4,3
S00000086,2026-01-08,12,L002,Lチキ 旨辛,ホットスナック,1,210,210,rainy,8.4,3
S00000087,2026-01-08,12,S001,サンドイッチ たまご,サンドイッチ,2,298,596,rainy,8.4,3
S00000088,2026-01-08,12,S001,サンドイッチ たまご,サンドイッチ,2,298,596,rainy,8.4,3
S00000089,2026-01-08,12,K002,からあげクン レッド,ホットスナック,2,238,476,rainy,8.4,3
S00000090,2026-01-08,12,SW01,シュークリーム,スイーツ,2,150,300,rainy,8.4,3
S00000091,2026-01-08,12,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,8.4,3
S00000092,2026-01-08,12,O002,おにぎり ツナマヨ,おにぎり,1,130,130,rainy,8.4,3
S00000093,2026-01-08,12,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,8.4,3
S00000094,2026-01-08,12,SW02,プリン,スイーツ,1,180,180,rainy,8.4,3
S00000095,2026-01-08,12,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000096,2026-01-08,12,B003,チキン南蛮弁当,弁当,3,548,1644,rainy,8.4,3
S00000097,2026-01-08,12,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,8.4,3
S00000098,2026-01-08,12,SW01,シュークリーム,スイーツ,1,150,150,rainy,8.4,3
S00000099,2026-01-08,12,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000100,2026-01-08,12,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,8.4,3
S00000101,2026-01-08,12,S002,サンドイッチ ハムチーズ,サンドイッチ,2,328,656,rainy,8.4,3
S00000102,2026-01-08,12,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,8.4,3
S00000103,2026-01-08,12,OD03,おでん ちくわ,おでん,1,110,110,rainy,8.4,3
S00000104,2026-01-08,12,K002,からあげクン レッド,ホットスナック,3,238,714,rainy,8.4,3
S00000105,2026-01-08,12,L001,Lチキ,ホットスナック,2,210,420,rainy,8.4,3
S00000106,2026-01-08,12,D003,スポーツドリンク,飲料,1,160,160,rainy,8.4,3
S00000107,2026-01-08,12,K003,からあげクン チーズ,ホットスナック,1,238,238,rainy,8.4,3
S00000108,2026-01-08,12,D002,コーヒー 缶,飲料,1,130,130,rainy,8.4,3
S00000109,2026-01-08,12,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000110,2026-01-08,12,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000111,2026-01-08,12,L002,Lチキ 旨辛,ホットスナック,1,210,210,rainy,8.4,3
S00000112,2026-01-08,13,S001,サンドイッチ たまご,サンドイッチ,2,298,596,rainy,8.4,3
S00000113,2026-01-08,13,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,8.4,3
S00000114,2026-01-08,13,D002,コーヒー 缶,飲料,1,130,130,rainy,8.4,3
S00000115,2026-01-08,13,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000116,2026-01-08,13,L002,Lチキ 旨辛,ホットスナック,1,210,210,rainy,8.4,3
S00000117,2026-01-08,13,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,8.4,3
S00000118,2026-01-08,13,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000119,2026-01-08,13,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000120,2026-01-08,13,SW02,プリン,スイーツ,1,180,180,rainy,8.4,3
S00000121,2026-01-08,13,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000122,2026-01-08,13,D002,コーヒー 缶,飲料,2,130,260,rainy,8.4,3
S00000123,2026-01-08,13,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000124,2026-01-08,13,L001,Lチキ,ホットスナック,1,210,210,rainy,8.4,3
S00000125,2026-01-08,13,D002,コーヒー 缶,飲料,1,130,130,rainy,8.4,3
S00000126,2026-01-08,13,D004,コーラ 500ml,飲料,1,170,170,rainy,8.4,3
S00000127,2026-01-08,13,O002,おにぎり ツナマヨ,おにぎり,1,130,130,rainy,8.4,3
S00000128,2026-01-08,13,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000129,2026-01-08,13,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000130,2026-01-08,13,K003,からあげクン チーズ,ホットスナック,1,238,238,rainy,8.4,3
S00000131,2026-01-08,13,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000132,2026-01-08,13,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000133,2026-01-08,13,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000134,2026-01-08,13,D002,コーヒー 缶,飲料,1,130,130,rainy,8.4,3
S00000135,2026-01-08,14,C001,カップ麺 醤油,カップ麺,2,220,440,rainy,8.4,3
S00000136,2026-01-08,14,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000137,2026-01-08,14,L001,Lチキ,ホットスナック,1,210,210,rainy,8.4,3
S00000138,2026-01-08,14,B001,幕の内弁当,弁当,2,498,996,rainy,8.4,3
S00000139,2026-01-08,14,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000140,2026-01-08,14,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000141,2026-01-08,14,OD03,おでん ちくわ,おでん,3,110,330,rainy,8.4,3
S00000142,2026-01-08,14,SW02,プリン,スイーツ,1,180,180,rainy,8.4,3
S00000143,2026-01-08,14,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000144,2026-01-08,14,L002,Lチキ 旨辛,ホットスナック,1,210,210,rainy,8.4,3
S00000145,2026-01-08,14,L002,Lチキ 旨辛,ホットスナック,1,210,210,rainy,8.4,3
S00000146,2026-01-08,15,O001,おにぎり 鮭,おにぎり,3,140,420,rainy,8.4,3
S00000147,2026-01-08,15,OD03,おでん ちくわ,おでん,2,110,220,rainy,8.4,3
S00000148,2026-01-08,15,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000149,2026-01-08,15,K003,からあげクン チーズ,ホットスナック,3,238,714,rainy,8.4,3
S00000150,2026-01-08,15,O002,おにぎり ツナマヨ,おにぎり,1,130,130,rainy,8.4,3
S00000151,2026-01-08,15,D002,コーヒー 缶,飲料,1,130,130,rainy,8.4,3
S00000152,2026-01-08,15,OD03,おでん ちくわ,おでん,1,110,110,rainy,8.4,3
S00000153,2026-01-08,15,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,8.4,3
S00000154,2026-01-08,15,B002,のり弁当,弁当,3,398,1194,rainy,8.4,3
S00000155,2026-01-08,15,B003,チキン南蛮弁当,弁当,1,548,548,rainy,8.4,3
S00000156,2026-01-08,16,B002,のり弁当,弁当,1,398,398,rainy,8.4,3
S00000157,2026-01-08,16,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000158,2026-01-08,16,N001,肉まん,中華まん,2,150,300,rainy,8.4,3
S00000159,2026-01-08,16,K003,からあげクン チーズ,ホットスナック,1,238,238,rainy,8.4,3
S00000160,2026-01-08,16,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000161,2026-01-08,16,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000162,2026-01-08,16,S001,サンドイッチ たまご,サンドイッチ,1,298,298,rainy,8.4,3
S00000163,2026-01-08,17,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000164,2026-01-08,17,K001,からあげクン レギュラー,ホットスナック,2,238,476,rainy,8.4,3
S00000165,2026-01-08,17,S001,サンドイッチ たまご,サンドイッチ,1,298,298,rainy,8.4,3
S00000166,2026-01-08,17,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000167,2026-01-08,17,B002,のり弁当,弁当,1,398,398,rainy,8.4,3
S00000168,2026-01-08,17,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000169,2026-01-08,17,B002,のり弁当,弁当,1,398,398,rainy,8.4,3
S00000170,2026-01-08,17,S002,サンドイッチ ハムチーズ,サンドイッチ,1,328,328,rainy,8.4,3
S00000171,2026-01-08,18,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000172,2026-01-08,18,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000173,2026-01-08,18,B001,幕の内弁当,弁当,1,498,498,rainy,8.4,3
S00000174,2026-01-08,18,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,8.4,3
S00000175,2026-01-08,18,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000176,2026-01-08,18,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000177,2026-01-08,18,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000178,2026-01-08,18,D002,コーヒー 缶,飲料,2,130,260,rainy,8.4,3
S00000179,2026-01-08,18,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000180,2026-01-08,18,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000181,2026-01-08,18,K003,からあげクン チーズ,ホットスナック,2,238,476,rainy,8.4,3
S00000182,2026-01-08,18,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000183,2026-01-08,18,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,8.4,3
S00000184,2026-01-08,18,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000185,2026-01-08,18,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000186,2026-01-08,18,S002,サンドイッチ ハムチーズ,サンドイッチ,1,328,328,rainy,8.4,3
S00000187,2026-01-08,18,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,8.4,3
S00000188,2026-01-08,18,D003,スポーツドリンク,飲料,1,160,160,rainy,8.4,3
S00000189,2026-01-08,18,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000190,2026-01-08,18,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000191,2026-01-08,18,K003,からあげクン チーズ,ホットスナック,1,238,238,rainy,8.4,3
S00000192,2026-01-08,19,L002,Lチキ 旨辛,ホットスナック,3,210,630,rainy,8.4,3
S00000193,2026-01-08,19,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,8.4,3
S00000194,2026-01-08,19,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000195,2026-01-08,19,OD03,おでん ちくわ,おでん,1,110,110,rainy,8.4,3
S00000196,2026-01-08,19,SW02,プリン,スイーツ,1,180,180,rainy,8.4,3
S00000197,2026-01-08,19,SW01,シュークリーム,スイーツ,3,150,450,rainy,8.4,3
S00000198,2026-01-08,19,OD03,おでん ちくわ,おでん,1,110,110,rainy,8.4,3
S00000199,2026-01-08,19,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000200,2026-01-08,19,D002,コーヒー 缶,飲料,1,130,130,rainy,8.4,3
S00000201,2026-01-08,19,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000202,2026-01-08,19,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000203,2026-01-08,19,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000204,2026-01-08,19,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,8.4,3
S00000205,2026-01-08,19,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000206,2026-01-08,19,D004,コーラ 500ml,飲料,1,170,170,rainy,8.4,3
S00000207,2026-01-08,19,O002,おにぎり ツナマヨ,おにぎり,1,130,130,rainy,8.4,3
S00000208,2026-01-08,19,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000209,2026-01-08,19,S002,サンドイッチ ハムチーズ,サンドイッチ,1,328,328,rainy,8.4,3
S00000210,2026-01-08,19,S002,サンドイッチ ハムチーズ,サンドイッチ,1,328,328,rainy,8.4,3
S00000211,2026-01-08,19,S002,サンドイッチ ハムチーズ,サンドイッチ,2,328,656,rainy,8.4,3
S00000212,2026-01-08,19,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000213,2026-01-08,19,S001,サンドイッチ たまご,サンドイッチ,1,298,298,rainy,8.4,3
S00000214,2026-01-08,20,C001,カップ麺 醤油,カップ麺,3,220,660,rainy,8.4,3
S00000215,2026-01-08,20,I001,アイスクリーム バニラ,アイス,1,180,180,rainy,8.4,3
S00000216,2026-01-08,20,OD03,おでん ちくわ,おでん,3,110,330,rainy,8.4,3
S00000217,2026-01-08,20,O002,おにぎり ツナマヨ,おにぎり,1,130,130,rainy,8.4,3
S00000218,2026-01-08,20,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,8.4,3
S00000219,2026-01-08,20,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000220,2026-01-08,20,L002,Lチキ 旨辛,ホットスナック,1,210,210,rainy,8.4,3
S00000221,2026-01-08,21,L001,Lチキ,ホットスナック,1,210,210,rainy,8.4,3
S00000222,2026-01-08,21,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,8.4,3
S00000223,2026-01-08,21,N001,肉まん,中華まん,1,150,150,rainy,8.4,3
S00000224,2026-01-08,21,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000225,2026-01-08,21,D002,コーヒー 缶,飲料,1,130,130,rainy,8.4,3
S00000226,2026-01-08,21,S001,サンドイッチ たまご,サンドイッチ,1,298,298,rainy,8.4,3
S00000227,2026-01-08,21,B002,のり弁当,弁当,1,398,398,rainy,8.4,3
S00000228,2026-01-08,21,S001,サンドイッチ たまご,サンドイッチ,1,298,298,rainy,8.4,3
S00000229,2026-01-08,22,K003,からあげクン チーズ,ホットスナック,1,238,238,rainy,8.4,3
S00000230,2026-01-08,22,I001,アイスクリーム バニラ,アイス,3,180,540,rainy,8.4,3
S00000231,2026-01-08,22,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000232,2026-01-08,22,SW01,シュークリーム,スイーツ,1,150,150,rainy,8.4,3
S00000233,2026-01-08,22,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,8.4,3
S00000234,2026-01-08,22,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000235,2026-01-08,23,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000236,2026-01-08,23,K003,からあげクン チーズ,ホットスナック,3,238,714,rainy,8.4,3
S00000237,2026-01-08,23,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000238,2026-01-08,23,L002,Lチキ 旨辛,ホットスナック,1,210,210,rainy,8.4,3
S00000239,2026-01-09,6,B001,幕の内弁当,弁当,1,498,498,rainy,10.9,4
S00000240,2026-01-09,6,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,10.9,4
S00000241,2026-01-09,6,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,10.9,4
S00000242,2026-01-09,6,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,10.9,4
S00000243,2026-01-09,6,N001,肉まん,中華まん,1,150,150,rainy,10.9,4
S00000244,2026-01-09,6,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,10.9,4
S00000245,2026-01-09,6,B001,幕の内弁当,弁当,1,498,498,rainy,10.9,4
S00000246,2026-01-09,6,OD03,おでん ちくわ,おでん,1,110,110,rainy,10.9,4
S00000247,2026-01-09,6,N001,肉まん,中華まん,1,150,150,rainy,10.9,4
S00000248,2026-01-09,6,D004,コーラ 500ml,飲料,1,170,170,rainy,10.9,4
S00000249,2026-01-09,7,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,10.9,4
S00000250,2026-01-09,7,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,10.9,4
S00000251,2026-01-09,7,D002,コーヒー 缶,飲料,1,130,130,rainy,10.9,4
S00000252,2026-01-09,7,B003,チキン南蛮弁当,弁当,3,548,1644,rainy,10.9,4
S00000253,2026-01-09,7,N002,ピザまん,中華まん,1,150,150,rainy,10.9,4
S00000254,2026-01-09,7,OD01,おでん 大根,おでん,3,90,270,rainy,10.9,4
S00000255,2026-01-09,7,N001,肉まん,中華まん,3,150,450,rainy,10.9,4
S00000256,2026-01-09,7,D001,お茶 500ml,飲料,1,150,150,rainy,10.9,4
S00000257,2026-01-09,7,D004,コーラ 500ml,飲料,1,170,170,rainy,10.9,4
S00000258,2026-01-09,7,O003,おにぎり 明太子,おにぎり,3,150,450,rainy,10.9,4
S00000259,2026-01-09,7,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,10.9,4
S00000260,2026-01-09,7,D001,お茶 500ml,飲料,1,150,150,rainy,10.9,4
S00000261,2026-01-09,8,OD03,おでん ちくわ,おでん,1,110,110,rainy,10.9,4
S00000262,2026-01-09,8,O002,おにぎり ツナマヨ,おにぎり,1,130,130,rainy,10.9,4
S00000263,2026-01-09,8,B002,のり弁当,弁当,3,398,1194,rainy,10.9,4
S00000264,2026-01-09,8,D003,スポーツドリンク,飲料,1,160,160,rainy,10.9,4
S00000265,2026-01-09,8,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,10.9,4
S00000266,2026-01-09,8,S001,サンドイッチ たまご,サンドイッチ,1,298,298,rainy,10.9,4
S00000267,2026-01-09,8,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,10.9,4
S00000268,2026-01-09,8,OD01,おでん 大根,おでん,1,90,90,rainy,10.9,4
S00000269,2026-01-09,8,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,10.9,4
S00000270,2026-01-09,8,S001,サンドイッチ たまご,サンドイッチ,1,298,298,rainy,10.9,4
S00000271,2026-01-09,8,N002,ピザまん,中華まん,1,150,150,rainy,10.9,4
S00000272,2026-01-09,8,D003,スポーツドリンク,飲料,1,160,160,rainy,10.9,4
S00000273,2026-01-09,8,SW02,プリン,スイーツ,1,180,180,rainy,10.9,4
S00000274,2026-01-09,8,B002,のり弁当,弁当,1,398,398,rainy,10.9,4
S00000275,2026-01-09,9,B001,幕の内弁当,弁当,1,498,498,rainy,10.9,4
S00000276,2026-01-09,9,OD01,おでん 大根,おでん,1,90,90,rainy,10.9,4
S00000277,2026-01-09,9,OD01,おでん 大根,おでん,2,90,180,rainy,10.9,4
S00000278,2026-01-09,9,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,10.9,4
S00000279,2026-01-09,9,O004,おにぎり 梅,おにぎり,1,120,120,rainy,10.9,4
S00000280,2026-01-09,9,OD02,おでん たまご,おでん,1,100,100,rainy,10.9,4
S00000281,2026-01-09,9,SW02,プリン,スイーツ,1,180,180,rainy,10.9,4
S00000282,2026-01-09,9,O004,おにぎり 梅,おにぎり,1,120,120,rainy,10.9,4
S00000283,2026-01-09,9,O004,おにぎり 梅,おにぎり,1,120,120,rainy,10.9,4
S00000284,2026-01-09,9,L001,Lチキ,ホットスナック,1,210,210,rainy,10.9,4
S00000285,2026-01-09,9,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,10.9,4
S00000286,2026-01-09,9,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,10.9,4
S00000287,2026-01-09,9,OD01,おでん 大根,おでん,1,90,90,rainy,10.9,4
S00000288,2026-01-09,9,K001,からあげクン レギュラー,ホットスナック,1,238,238,rainy,10.9,4
S00000289,2026-01-09,9,D001,お茶 500ml,飲料,1,150,150,rainy,10.9,4
S00000290,2026-01-09,10,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,10.9,4
S00000291,2026-01-09,10,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,10.9,4
S00000292,2026-01-09,10,N001,肉まん,中華まん,1,150,150,rainy,10.9,4
